taskID;employeeID;employeeName;team;role;yearsExperience
b2;20065915.0;Employee-Italy#0;TEI;Developer;2,2
b2;23088103.0;Employee-Italy#1;TEI;Developer;1,54
b2;23173442.0;Employee-Italy#2;TEI;Developer;5
b2;23257746.0;Employee-Italy#3;TEI;Developer;5
wt1;20065915.0;Employee-Italy#0;TEI;Developer;2,28
wt1;23088103.0;Employee-Italy#1;TEI;Developer;1,53
wt1;23173442.0;Employee-Italy#2;TEI;Developer;5
b3;23103635.0;Employee-Italy#4;TEI;Developer;0,35
b3;20065915.0;Employee-Italy#0;TEI;Developer;2,6
b3;23088103.0;Employee-Italy#1;TEI;Developer;2
b3;;Employee-Italy#5;TEI;Developer;
b3;20095492.0;Employee-Italy#6;TEI;Developer;1,28
